"music_title","difficulty_name","music_id","difficulty_id","count","played","comp","ex_comp","uc","per","grade_C","grade_B","grade_A","grade_Ap","grade_AA","grade_AAp","grade_AAA","grade_AAAp","grade_S","grade_995","grade_998","avg_score","sd_score","avg_skill_u8","avg_skill_9","avg_skill_10","avg_skill_11","avg_skill_12_n","avg_skill_12_g","avg_skill_12_h","avg_vf_u7","avg_vf_8_i_ii","avg_vf_8_iii_iv","avg_vf_9_i","avg_vf_9_ii","avg_vf_9_iii","avg_vf_9_iv","avg_vf_10_i","avg_vf_10_ii"
"smooooch・∀・ KN mix","NOVICE","17","1","298","11","188","0","22","77","298","283","255","237","189","174","131","117","101","100","99","9378538","732737","9215081","9159779","8047520","9508833","9514660","9430670","9409681","9765625","9158432","9073002","8990718","9232017","9686952","8987603","9674987","9717630",\N,\N
"smooooch・∀・ KN mix","ADVANCED","17","2","762","81","583","10","60","28","753","753","736","679","558","364","229","166","126","104","57","9388655","982168","9751613","9648014","9429044","9206224","9389666","9270811","9498871","9681970","9004226","9328771","9610956","9014880","9327627","9474666","9524657","9564886",\N,\N
"smooooch・∀・ KN mix","EXHAUST","17","3","1211","50","409","261","326","165","1211","1211","1199","1178","1049","964","870","824","700","543","368","9768199","317965","9828583","9869841","9565610","9795106","9781545","9701704","9778801","9764356","9636895","9681060","9816228","9799949","9768683","9647987","9828030","9683801",\N,\N
"jet coaster☆girl sasakure.UK tRiCkStAr Remix","NOVICE","18","1","167","10","13","1","25","118","157","157","157","157","152","152","149","140","129","128","119","9360265","2330974","9978510","9799426","0","9998034","8461159","9942693","9851223","9962840","9981580","9988061","9979161","9976122","9928366","9842406","8228156","10000000",\N,\N
"jet coaster☆girl sasakure.UK tRiCkStAr Remix","ADVANCED","18","2","220","4","111","12","37","56","216","216","211","183","154","128","117","104","92","74","71","9514154","656141","9977041","8806122","9182599","9547416","9643282","7835459","9687205","9422902","9594254","9729592","9381235","9648242","8836734","9088435","9700000","10000000",\N,\N
"jet coaster☆girl sasakure.UK tRiCkStAr Remix","EXHAUST","18","3","1045","128","53","37","603","224","1035","1035","1002","993","988","987","957","932","798","572","323","9835928","492666","9911146","9902718","9861409","9883053","9816304","9654525","9865123","9824473","9811001","9703084","9924628","9640297","9922746","9510972","9920364","9963564",\N,\N
"ごりらがいるんだ","NOVICE","19","1","110","0","45","0","20","45","110","106","106","106","89","83","70","60","54","54","49","9667294","578467","10000000","9222648","0","9845791","9774579","9270633","8933541","9805662","9802063","9970460","9776871","9836852","9325335","10000000","9797398","7101727",\N,\N
"ごりらがいるんだ","ADVANCED","19","2","289","16","178","1","61","33","289","289","273","229","154","121","105","104","85","68","57","9413231","492346","9830613","9286504","9121876","9457377","9378660","9001659","9616507","9541523","9107811","9295386","9320396","9401272","9274213","9184935","9780239","9159687",\N,\N
"ごりらがいるんだ","EXHAUST","19","3","1039","86","253","148","394","158","1038","1038","1020","991","940","886","836","796","621","442","254","9790560","441414","9818638","9309882","9707620","9668603","9826315","9838778","9850459","9698691","9602121","9430571","9834614","9825265","9881512","9546980","9906660","9932402",\N,\N
"ごりらがいるんだ","INFINITE","19","5","767","59","143","342","142","81","767","767","767","757","723","674","571","534","364","229","135","9789708","242840","9899767","9805535","9711761","9809166","9777381","9678540","9876376","9649569","9738635","9722091","9828531","9813759","9622282","9858849","9866614","9797957",\N,\N
